state,2018,2019,2020,2019-2020,2018-2020
Alabama,19,28,15,13,4
Alaska,49,48,50,-2,-1
Arizona,23,29,30,-1,-7
Arkansas,9,17,13,4,-4
California,43,45,47,-2,-4
Colorado,38,37,43,-6,-5
Connecticut,35,31,5,26,30
Delaware,48,44,35,9,13
Florida,40,41,8,33,32
Georgia,26,14,4,10,22
Hawaii,42,47,48,-1,-6
Idaho,5,8,34,-26,-29
Illinois,37,40,29,11,8
Indiana,32,32,23,9,9
Iowa,20,22,31,-9,-11
Kansas,3,7,22,-15,-19
Kentucky,4,4,7,-3,-3
Louisiana,31,35,40,-5,-9
Maine,25,33,32,1,-7
Maryland,41,38,24,14,17
Massachusetts,47,43,20,23,27
Michigan,24,34,27,7,-3
Minnesota,15,18,12,6,3
Mississippi,8,15,18,-3,-10
Missouri,2,3,11,-8,-9
Montana,10,11,25,-14,-15
Nebraska,12,21,26,-5,-14
Nevada,27,20,21,-1,6
New Hampshire,29,19,14,5,15
New Jersey,50,50,44,6,6
New Mexico,16,27,36,-9,-20
New York,44,46,49,-3,-5
North Carolina,14,5,2,3,12
North Dakota,1,1,9,-8,-8
Ohio,13,24,17,7,-4
Oklahoma,34,36,45,-9,-11
Oregon,28,25,37,-2,-2
Pennsylvania,39,39,41,7,4
Rhode Island,46,49,42,17,0
South Carolina,6,23,6,-19,-17
South Dakota,11,9,28,7,4
Tennessee,7,10,3,-3,-1
Texas,18,16,19,-4,7
Utah,17,6,10,-25,-8
Vermont,30,13,38,1,20
Virginia,21,2,1,-4,-1
Washington,45,42,46,-9,-6
West Virginia,33,30,39,-9,-11
Wisconsin,22,26,33,-7,-8
Wyoming,36,12,16,-4,20
